year,athlete_id,player,team,ppa_per_dropback,total_ppa_pass
2014,513823,Kevin Earl,South Dakota,0.093,2.616
2014,513860,Ben McLane,Georgia State,0.678,2.034
2014,513877,John Robertson,Villanova,0.205,6.144
2014,513949,Taylor Heinicke,Old Dominion,0.265,115.642
2014,514079,Kaleb Griffin,Presbyterian,-0.104,-0.727
2014,514105,Daxx Garman,Oklahoma State,0.105,31.884
2014,514124,Jake Coker,Alabama,0.341,21.148
2014,514152,Joseph Calcagni,Tulsa,-0.505,-9.086
2014,514230,Joel Stave,Wisconsin,0.17,36.104
2014,514286,Drew Kummer,Miami (OH),-0.077,-0.767
2014,514440,Terrel Hunt,Syracuse,0.032,4.674
2014,514481,Michael Brewer,Virginia Tech,0.158,72.928
2014,514502,Max Shortell,Jacksonville State,0.066,1.317
2014,514617,Kyle Pohl,Akron,0.024,9.377
2014,514651,Josh Woodrum,Liberty,0.309,21.307
2014,514655,Dante Nania,Youngstown State,0.051,1.329
2014,514737,Kendal Thompson,Utah,-0.126,-7.807
2014,514749,Matt Floyd,South Alabama,-0.11,-5.19
2014,514894,Driphus Jackson,Rice,0.403,141.363
2014,514934,Marlon Kelly,Delaware State,-0.375,-2.248
2014,515084,Chris Brown,Cal Poly,-1.615,-4.846
2014,515147,Andrew McNulty,North Texas,0.018,3.556
2014,515190,Daniel Sams,McNeese,0.424,3.813
2014,515301,Kyren Poe,Northern Arizona,0.104,3.12
2014,515360,Angel Santiago,Army,-0.019,-1.545
2014,515409,Everett Golson,Notre Dame,0.264,118.428
2014,515454,Reilly O'Toole,Illinois,0.106,23.065
2014,515528,Garrett Grayson,Colorado State,0.485,200.334
2014,515580,Kevin Sousa,Wake Forest,-2.188,-2.188
2014,515607,Carson Wentz,North Dakota State,0.233,6.768
2014,515648,Sawyer Kollmorgen,Northern Iowa,0.07,5.489
2014,515874,Stephen Hogan,Arkansas State,-0.172,-1.029
2014,515906,Phillip Ely,Toledo,0.437,30.589
2014,515915,Brandon Allen,Arkansas,0.32,110.906
2014,515987,Michael Weimer,Wofford,-0.006,-0.026
2014,516201,John Hendrick,Navy,NA,0
2014,516347,Marquise Williams,North Carolina,0.215,96.384
2014,516354,Evan Crower,Stanford,0.278,6.396
2014,516357,Kevin Hogan,Stanford,0.332,117.233
2014,516388,Christian Brumbaugh,William & Mary,0.483,0.966
2014,516601,Carson Barnett,Samford,-0.586,-2.931
2014,516783,Jarod Neal,UT Martin,0.312,16.867
2014,517034,Vad Lee,James Madison,-0.247,-9.153
2014,517095,Kierra Harris,Missouri State,0.247,6.426
2014,517127,Trevone Boykin,TCU,0.316,161.695
2014,517186,Nick Sherry,UNLV,-0.428,-12.848
2014,517210,Jerrard Randall,Arizona,-0.78,-2.339
2014,517211,Stephen Rivers,Vanderbilt,-0.387,-25.144
2014,517248,Joe Hubener,Kansas State,0.401,6.818
2014,517393,Mike Bercovici,Arizona State,0.392,48.995
2014,517400,Michael Eubank,Samford,0.051,2.386
2014,517680,Tyler Bolfing,McNeese,0.175,3.148
2014,517960,Dallas Tidwell,Troy,-0.194,-1.162
2014,518239,Austin Brown,Charleston Southern,-0.068,-2.365
2014,518267,Rakeem Cato,Marshall,0.421,188.116
2014,518271,Blake Frohnapfel,Massachusetts,0.3,135.763
2014,518323,Zack Oliver,Northwestern,0.179,8.765
2014,518344,Gary Nova,Rutgers,0.366,125.184
2014,518380,Jake Rudock,Iowa,0.284,102.074
2014,518420,D.J. Williams,Grambling,-0.151,-1.361
2014,518424,Johnathan Williams,Grambling,NA,0
2014,518526,Adam Schulz,Utah,1.79,3.579
2014,518589,Brandon Wells,Alabama A&M,-0.059,-1.527
2014,518679,Bobby Watkins,Central Arkansas,1.113,1.113
2014,519005,Greg McGhee,Howard,-0.157,-9.282
2014,519055,Trey Anderson,Pittsburgh,0.416,6.241
2014,519384,Justin Arias,Idaho State,0.067,6.096
2014,519443,Jared McClain,Eastern Kentucky,0.017,0.237
2014,519812,Garrett Krstich,SMU,-0.034,-6.61
2014,519942,Damien Fleming,Florida A&M,0.039,0.626
2014,520118,Brad Kragthorpe,LSU,0.245,0.245
2014,520520,Colby Kirkegaard,Wyoming,0.184,72.874
2014,521060,Quentin Williams,Bethune-Cookman,0.267,10.42
2014,521577,Casey Freeman,Alcorn State,2.482,2.482
2014,529363,Kieran McDonagh,Portland State,0.035,2.465
2014,529534,Hayden Alford,VMI,0.144,1.154
2014,529954,Connor Frazier,Towson,-0.067,-1.214
2014,529984,Steve Cluley,William & Mary,-0.201,-4.835
2014,530299,Sean Maguire,Florida State,0.043,2.453
2014,530308,Jameis Winston,Florida State,0.432,206.742
2014,530328,Tyler Cameron,Wake Forest,-0.173,-3.117
2014,530357,Will Gardner,Louisville,0.292,68.048
2014,530450,Chad Voytik,Pittsburgh,0.285,78.025
2014,530478,Thomas Sirk,Duke,0.518,7.247
2014,530521,Greyson Lambert,Virginia,0.199,53.639
2014,530541,Brenden Motley,Virginia Tech,-0.341,-1.365
2014,530568,Keenan Reynolds,Navy,0.024,3.123
2014,530619,McCoy Hill,BYU,1.455,2.91
2014,530696,Cody Sokol,Louisiana Tech,0.39,166.763
2014,530731,Mitch Leidner,Minnesota,0.226,58.061
2014,530875,Jeff Lockie,Oregon,0.662,18.522
2014,530931,Faton Bauta,Georgia,0.765,3.823
2014,530943,Jalen Whitlow,Eastern Illinois,0.161,11.586
2014,530944,Patrick Towles,Kentucky,0.136,57.522
2014,530978,T.J. Millweard,Kansas,0.514,1.543
2014,531051,Travis Wilson,Utah,0.237,77.521
2014,531056,Connor Brewer,Arizona,NA,0
2014,531104,Justin Thomas,Georgia Tech,0.534,103.66
2014,531172,Chad Chalich,Idaho,0.3,19.475
2014,531196,Craig Harrison,Utah State,0.163,6.039
2014,531222,Grant Rohach,Iowa State,-0.193,-11.004
2014,531316,Ryan Higgins,Louisiana Tech,0.411,4.115
2014,531385,Maty Mauk,Missouri,0.176,76.383
2014,531430,Jalen Nixon,Louisiana,NA,0
2014,531455,Cooper Rush,Central Michigan,0.388,155.331
2014,531552,Ozzie Mann,Ball State,0.291,58.982
2014,531589,Austin Grammer,Middle Tennessee,0.259,85.671
2014,531678,Brooks Haack,Louisiana,0.671,16.106
2014,531755,Nick Patti,UCF,0.298,4.166
2014,531801,James Knapke,Bowling Green,0.121,60.736
2014,531955,Collin Michael,Buffalo,-0.135,-0.135
2014,532000,Patton Robinette,Vanderbilt,0.063,4.575
2014,532065,Nathan Peterman,Tennessee,-0.243,-5.356
2014,532089,Cole Weeks,Southern Miss,0.176,17.62
2014,532113,Matt Davis,SMU,-0.049,-8.74
2014,532118,Conner McQueen,Texas A&M,NA,0
2014,532173,Devin Powell,Tulane,-0.288,-8.075
2014,532273,Dane Evans,Tulsa,0.16,77.621
2014,532323,Evan Jacks,Wofford,-0.073,-0.658
2014,532433,JD Sprague,Ohio,0.012,2.55
2014,532440,Greg Windham,Ohio,0.14,1.961
2014,532480,Drew Hare,Northern Illinois,0.327,109.626
2014,532644,Anthony Maddie,Northern Illinois,0.284,9.653
2014,532645,Zach Terrell,Western Michigan,0.431,146.06
2014,532684,Craig Leonard,Colorado State,NA,0
2014,532740,Riley Gallaher,Campbell,-2.933,-11.733
2014,532909,KD Humphries,Murray State,0.251,12.778
2014,532925,Kevin Ellison,Georgia Southern,0.21,27.783
2014,532975,Taylor Graham,Hawai'i,0.287,6.316
2014,532976,Ikaika Woolsey,Hawai'i,0.091,33.774
2014,533122,Troy Mitchell,Western Carolina,0.178,19.721
2014,533182,Ryker Fyfe,Nebraska,-0.067,-0.74
2014,533235,Casey Cochran,UConn,-0.002,-0.054
2014,533264,Chandler Whitmer,UConn,0.097,23.066
2014,533270,Tommy Armstrong Jr.,Nebraska,0.246,88.585
2014,533375,Dash Duncan,Nicholls,-2.11,-4.219
2014,533762,Sean Rubalcaba,Northern Colorado,0.282,6.757
2014,533805,Dakota Prukop,Montana State,-0.185,-5.921
2014,533958,Joe Mollberg,North Dakota,0.068,1.43
2014,534028,Kyle Snyder,Southeast Missouri State,0.663,17.248
2014,534238,Jason Thompson,Utah,-1.215,-1.215
2014,534259,Gunner Kiel,Cincinnati,0.444,163.909
2014,534294,Cardale Jones,Ohio State,0.378,36.62
2014,534317,Perry Hills,Maryland,0.572,5.717
2014,534328,Caleb Rowe,Maryland,0.096,3.46
2014,534449,Trevor Knight,Oklahoma,0.275,88.691
2014,534652,Wes Lunt,Illinois,0.285,70.942
2014,534708,Daniel Croghan III,Charleston Southern,-0.589,-4.709
2014,534770,Austin Appleby,Purdue,0.079,22.324
2014,534813,Bart Houston,Wisconsin,0.501,1.502
2014,534849,Paxton Lynch,Memphis,0.235,99.367
2014,534967,Leon Prunty,Savannah St,-0.429,-11.147
2014,535022,Dillon Buechel,Duquesne,0.341,13.996
2014,535113,David Washington,Old Dominion,0.573,28.65
2014,535325,Cyler Miles,Washington,0.308,105.908
2014,535337,Don King III,Sam Houston,-1.013,-7.088
2014,535461,Gunnar Holcombe,Marshall,0.558,11.719
2014,535511,Seth Russell,Baylor,0.569,47.228
2014,535521,Michael Cummings,Kansas,0.24,61.391
2014,535548,Matt Johns,Virginia,0.243,39.626
2014,535578,Tyler O'Connor,Michigan State,0.965,15.435
2014,535646,A.J. Schurr,Army,-0.096,-2.961
2014,535722,Bennie Coney,Eastern Kentucky,-0.129,-4.787
2014,535735,Trenton Norvell,Western Illinois,0.002,0.121
2014,535797,Nate Boudreau,Indiana,-0.752,-1.504
2014,535825,Nate Sudfeld,Indiana,0.268,35.149
2014,535844,C.J. Beathard,Iowa,0.137,13.062
2014,535972,Kale Pearson,Air Force,0.448,80.274
2014,535979,Tucker Carter,UTSA,0.1,17.742
2014,535983,Zach Conque,Stephen F. Austin,0.023,0.746
2014,536139,Neal Burcham,SMU,-0.263,-13.425
2014,536228,Tyler Stewart,Nevada,NA,0
2014,536503,Tyler Stehling,Rice,0.393,7.462
2014,536571,E.J. Hilliard,Florida International,0.001,0.049
