year,athlete_id,player,team,ppa_per_dropback,total_ppa_pass
2017,3925422,Brad Heidlebaugh,North Dakota,-0.447,-2.234
2017,3926590,Ellis Richardson,Georgia Southern,1.171,14.055
2017,3929048,Sean Pratt,UCF,NA,0
2017,3929199,Manny Miles,North Carolina,-1.341,-1.341
2017,3929579,Blake McKenzie,Lamar,-0.483,-0.483
2017,3929824,Brian Lewerke,Michigan State,0.268,115.942
2017,3930361,Jordan Williams,Jackson State,-0.16,-0.16
2017,3930389,Micah Zanders,North Carolina Central,-0.319,-6.067
2017,3931782,Chase Litton,Marshall,0.304,136.21
2017,3932342,Koy Detmer Jr.,BYU,-0.161,-3.056
2017,3932345,Beau Hoge,BYU,-0.04,-1.558
2017,3932451,Brandon Wimbush,Notre Dame,0.152,44.641
2017,3932876,Zack Blair,Ball State,-0.361,-6.504
2017,3932903,Mitchell Guadagni,Toledo,-0.332,-1.661
2017,3933175,Carson Coats,Arkansas State,NA,0
2017,3933375,Jason Collins,Howard,0.593,3.556
2017,3945284,Ryan Brand,Maryland,0.029,1.432
2017,3949979,Kylil Carter,North Carolina A&T,NA,0
2017,3953574,London Johnson,Charleston Southern,-0.732,-0.732
2017,4027419,Eric Barriere,Eastern Washington,0.686,1.372
2017,4027860,Gresch Jensen,Montana,-0.226,-1.128
2017,4027938,Scotty Gilkey Jr,Eastern Illinois,-0.486,-1.946
2017,4028076,Davis Alexander,Portland State,-0.792,-0.792
2017,4029721,Shane Bucenell,Charleston Southern,-0.375,-7.873
2017,4029885,Stephen Calvert,Liberty,0.483,28.998
2017,4029898,Spencer Jones,Liberty,3.924,3.924
2017,4030387,Chance Thrasher,Coastal Carolina,-0.605,-6.051
2017,4030389,Austin Bradley,Coastal Carolina,-0.217,-0.217
2017,4030521,Carmine Scarfone,Colgate,NA,0
2017,4030759,DeAndre Harris,Morgan State,0.025,0.304
2017,4032411,Duncan Hodges,VMI,-0.589,-6.481
2017,4032456,Stefan Cantwell,Weber State,0.169,7.434
2017,4032575,Joe Newman,Wofford,-0.043,-0.173
2017,4032658,Brendan Bognar,Murray State,-0.793,-3.171
2017,4033387,Patrick Tyler,Southern Utah,-0.165,-6.088
2017,4033782,Mike Fiacable,Indiana,-1.198,-1.198
2017,4033880,Ryan Stover,Towson,-0.193,-7.53
2017,4034303,Chris Ferguson,Maine,-0.14,-5.73
2017,4034464,Austin Scott,Eastern Kentucky,0.224,2.243
2017,4034540,Colby Cornett,Southeast Missouri State,-0.295,-0.295
2017,4034549,Jesse Hosket,Southeast Missouri State,0.029,1.291
2017,4034572,Luke Ward,Tennessee Tech,-1.129,-1.129
2017,4034595,Andre Sale,Tennessee Tech,0.018,0.636
2017,4034857,Patrick O'Brien,Nebraska,-0.006,-0.209
2017,4034948,Feleipe Franks,Florida,0.147,37.639
2017,4035003,Jacob Eason,Georgia,0.558,5.026
2017,4035097,Jack Lowary,Missouri,NA,0
2017,4035167,Jarrett Guarantano,Tennessee,0.043,6.861
2017,4035225,Nick Starkel,Texas A&M,0.431,91.854
2017,4035285,Deuce Wallace,Vanderbilt,-0.008,-0.167
2017,4035292,Shea Patterson,Ole Miss,0.358,98.583
2017,4035312,Anthony Brown,Boston College,0.051,13.418
2017,4035409,Zach Smith,Baylor,0.174,37.567
2017,4035460,Zerrick Cooper,Clemson,0.157,6.892
2017,4035501,Devin Adams,Auburn,-1.623,-3.247
2017,4035525,Zeb Noland,Iowa State,0.293,19.623
2017,4035584,Cole Kelley,Arkansas,0.209,34.551
2017,4035671,Tyler Huntley,Utah,0.265,88.728
2017,4035691,Matt Fink,USC,0.011,0.107
2017,4035823,Devon Modster,UCLA,0.402,32.948
2017,4035995,Jawon Pass,Louisville,0.096,3.449
2017,4036149,Nathan Stanley,Iowa,0.289,103.878
2017,4036210,Tyrrell Pigrome,Maryland,1.069,11.763
2017,4036215,Max Bortenschlager,Maryland,-0.016,-4.03
2017,4036262,Brandon Peters,Michigan,0.166,19.039
2017,4036296,Darquez Lee,Southern,-0.268,-6.429
2017,4036378,Jordan Love,Utah State,0.162,38.012
2017,4036419,Skylar John Thompson,Kansas State,0.224,21.277
2017,4036427,Jacob Huesman,App State,-0.263,-0.525
2017,4036429,Zac Thomas,App State,-0.303,-1.514
2017,4036473,Logan Bonner,Arkansas State,-0.002,-0.04
2017,4036510,Messiah DeWeaver,Michigan State,-2.411,-7.234
2017,4036585,Caleb Evans,UL Monroe,0.302,108.509
2017,4036850,Montel Aaron,San José State,0.04,9.587
2017,4036853,Sam Allen,San José State,-0.398,-6.364
2017,4036857,Michael Carrillo,San José State,1.056,3.167
2017,4036923,Kelvin Hopkins Jr.,Army,0.105,2.002
2017,4037121,Rex Culpepper,Syracuse,0.049,3.758
2017,4037213,Jamie Newman,Wake Forest,-0.371,-1.485
2017,4037291,Jay Jones,Georgia Tech,NA,0
2017,4037293,Lucas Johnson,Georgia Tech,NA,0
2017,4037362,Kyle Banks,Middle Tennessee,-0.254,-3.045
2017,4037603,Josh Jackson,Virginia Tech,0.238,98.153
2017,4037606,Chase Mummau,Virginia Tech,3.781,3.781
2017,4037652,Tanner Schafer,Oklahoma,0.145,0.725
2017,4038186,Arion Worthman,Air Force,0.258,32.555
2017,4038220,Cole McDonald,Hawai'i,-0.307,-2.759
2017,4038223,Cole Brownholtz,Hawai'i,0.3,0.3
2017,4038224,Dru Brown,Hawai'i,0.124,52.88
2017,4038433,Keondre Wudtee,Oklahoma State,-0.422,-1.266
2017,4038520,Reid Herring,East Carolina,3.768,3.768
2017,4038524,Gardner Minshew,East Carolina,0.251,77.646
2017,4038741,Kato Nelson,Akron,0.104,16.598
2017,4038809,Jake Bentley,South Carolina,0.216,90.971
2017,4038941,Justin Herbert,Oregon,0.526,112.542
2017,4039005,Daniel Bridge-Gadd,Washington,NA,0
2017,4039034,Shane Buechele,Texas,0.12,27.79
2017,4039073,Mason Fine,North Texas,0.32,169.989
2017,4039210,Drew Plitt,Ball State,-0.133,-12.348
2017,4039275,Kwadra Griggs,Southern Miss,0.295,80.537
2017,4039300,D'Eriq King,Houston,0.363,65.392
2017,4039315,Isaac Stiebeling,Eastern Michigan,-0.097,-1.748
2017,4039354,David Moore,Memphis,0.649,6.495
2017,4039390,Tevaka Tuioti,New Mexico,0.05,5.936
2017,4039436,Malcolm Perry,Navy,0.548,13.142
2017,4039469,Anthony Thompson,Northern Illinois,NA,0
2017,4039470,Marcus Childers,Northern Illinois,0.094,26.33
2017,4039602,Khalil Tate,Arizona,0.392,74.097
2017,4039664,Luke Skipper,Tulsa,0.129,18.409
2017,4039910,Kaleb Barker,Troy,0.843,10.115
2017,4040616,Dwayne Haskins,Ohio State,0.442,26.064
2017,4040641,Johnathan Brantley,Tulane,-1.457,-13.117
2017,4040715,Jalen Hurts,Alabama,0.262,72.4
2017,4040729,Jake Arceneaux,Louisiana,0.265,0.265
2017,4040826,Drew Anderson,Buffalo,0.557,58.446
2017,4040880,Sam Noyer,Colorado,-0.332,-9.969
2017,4042113,McKenzie Milton,UCF,0.569,227.712
2017,4043136,Jett Duffey,Texas Tech,0.626,1.252
2017,4043609,Jackson White,Marshall,NA,0
2017,4043931,Kaelan Riley,Mercer,-0.059,-3.023
2017,4043980,Luke Anthony,Abilene Christian,-0.134,-1.071
2017,4044111,Chris Oladokun,South Florida,2.126,2.126
2017,4044431,K.J. Costello,Stanford,0.462,100.824
2017,4044687,Kobie Jones,Alabama State,-0.252,-5.038
2017,4045002,Robbie Kelley,Akron,0.309,8.337
2017,4045290,Peyton Ramsey,Indiana,0.236,50.558
2017,4046678,Ian Book,Notre Dame,0.123,9.857
2017,4046743,Grant Loy,Bowling Green,0.12,2.394
2017,4047176,Cam Miller,Illinois,NA,0
2017,4047491,Chris Murray,Montana State,-0.388,-5.819
2017,4047686,Jake Rizzo,Florida State,-0.1,-0.2
2017,4047916,Casey Marksberry,Colorado,-0.124,-0.248
2017,4050370,Keon Howard,Southern Miss,0.196,33.75
2017,4051100,Keenan Black,Delaware State,-0.165,-3.957
2017,4051399,Vincent Jeffries,Florida A&M,0.054,1.554
2017,4051417,Tahj Tolbert,Florida A&M,-0.746,-1.492
2017,4051573,Chase Fourcade,Nicholls,0.512,13.816
2017,4051890,Cade Sparks,Indiana State,-0.117,-1.986
2017,4051927,JaVaughn Craig,Austin Peay,-0.061,-1.279
2017,4052628,LaEarl Patterson,Arkansas-Pine Bluff,0.235,1.176
2017,4056052,Armani Rogers,UNLV,0.143,29.934
2017,4239134,David Pindell,UConn,-0.014,-2.383
2017,4239714,Kyle Vantrease,Buffalo,-0.002,-0.134
2017,4239793,Tyler Johnston III,UAB,0.076,0.153
2017,4239964,Isaiah Sanders,Air Force,-0.556,-9.447
2017,4239998,Hunter Johnson,Clemson,0.36,10.082
2017,4240020,James Blackman,Florida State,0.207,66.153
2017,4240151,Reece Goddard,Western Michigan,-0.043,-4.522
2017,4240534,Cam Thomas,Illinois,-0.251,-18.568
2017,4240689,Jake Fromm,Georgia,0.457,139.757
2017,4240703,Kenny Pickett,Pittsburgh,0.305,21.334
2017,4240850,Lindell Stone,Virginia,-1.337,-12.037
2017,4240904,Kellen Mond,Texas A&M,0.104,25.545
2017,4241222,Charlie Brewer,Baylor,0.342,74.794
2017,4241479,Tua Tagovailoa,Alabama,0.374,29.144
2017,4241553,Andre Nunez,Louisiana,0.227,27.227
2017,4241556,Levi Lewis,Louisiana,0.164,9.518
2017,4241591,Griffin Dahn,Nevada,NA,0
2017,4241669,Willie Jones III,Texas State,-0.052,-2.353
2017,4241820,Sam Ehlinger,Texas,0.109,31.015
2017,4241937,Kasim Hill,Maryland,0.703,14.758
2017,4242210,Myles Brennan,LSU,0.225,5.859
2017,4242331,Jack Coan,Wisconsin,1.264,6.322
2017,4242394,Michael Curtis,Massachusetts,NA,0
2017,4242418,Jordan Ta'amu,Ole Miss,0.337,61.046
2017,4242441,Will McBride,Tennessee,-0.137,-6.282
2017,4242490,Braxton Burmeister,Oregon,-0.223,-20.29
2017,4242512,Malik Willis,Auburn,-0.397,-2.776
2017,4243276,Todd Centeio,Temple,-0.045,-0.18
2017,4243484,Jordan Hoy,Old Dominion,-0.098,-1.757
2017,4243539,Noah Vedral,UCF,0.381,11.81
2017,4243787,De'Andre Johnson,Florida Atlantic,-1.261,-3.782
2017,4244029,Jarret Doege,Bowling Green,0.271,54.402
2017,4244068,Dustin Crum,Kent State,-0.289,-15.318
2017,4244688,Nathan Rourke,Ohio,0.23,65.258
2017,4244853,Miklo Smalls,Rice,-0.013,-1.143
2017,4245191,Bryce Rivers,UTSA,-1.195,-10.751
2017,4245281,Colton Richardson,Idaho,0.043,3.168
2017,4245679,Rhett Rodriguez,Arizona,1.238,1.238
2017,4247383,Caleb Hill,Montana,NA,0
2017,4247540,Grant Breneman,Colgate,-0.218,-5.461
2017,4248282,Jalen Greene,Elon,0.097,0.39
2017,4248286,Davis Cheek,Elon,-0.242,-2.421
2017,4248313,Peyton Huslig,Missouri State,0.53,20.121
2017,4248343,Conor Regan,Northern Colorado,-0.723,-2.17
2017,4248777,Jake Maier,UC Davis,0.565,14.122
2017,4248831,Jalani Eason,Portland State,0.024,1.381
2017,4248898,Wyatt Clapper,Sacramento State,-0.818,-4.091
2017,4249031,Baniko Harley,Austin Peay,NA,0
2017,4249033,Jeremiah Oatsvall,Austin Peay,0.576,20.175
2017,4249295,Reece Udinski,VMI,-0.238,-0.714
2017,4249971,Corey Newble,Murray State,0.055,0.928
2017,4250212,Aqeel Glass,Alabama A&M,-0.171,-8.719
2017,4250304,Donald Glenn,Wagner,-0.05,-0.05
2017,4250360,Bailey Zappe,Houston Christian,0.058,2.264
2017,4250464,Tino Smith,Savannah St,NA,0
2017,4250466,TJ Bell,Savannah St,-0.018,-0.258
2017,4250678,Chauncey Caldwell,North Carolina Central,-0.203,-0.406
2017,4250761,Gerrit Groenewold,Northern Arizona,1.599,4.798
2017,4250903,Geremy Hickbottom,Grambling,-0.589,-1.177
2017,4251244,John Lampley,Southern,NA,0
2017,4251245,Glendon McDaniel,Southern,-0.561,-19.629
2017,4251826,Tyshaun James,Central Connecticut,0.206,0.412
2017,4256063,Joe Critchlow,BYU,0.084,9.192
2017,4259966,Jack McDaniels,Delaware State,-0.238,-7.844
2017,4260925,Jake Dolegala,Central Connecticut,0.101,2.012
2017,4262160,Westin Elliott,Louisiana Tech,-0.268,-2.416
2017,4262737,Jarrad Hayes,Jackson State,-2.781,-11.124
2017,4262832,Sean Brophy,Incarnate Word,0.408,4.488
2017,4262852,Tavis Williams,Jackson State,-0.443,-0.443
2017,4266583,D'Vonn Gibbons,Savannah St,-0.513,-3.588
2018,530619,McCoy Hill,Southern Utah,0.417,3.749
2018,545334,Kolney Cassel,Hawai'i,0.882,0.882
2018,545682,A.J. Erdely,UAB,0.243,51.245
2018,545683,Brent Stockstill,Middle Tennessee,0.219,107.08
2018,545796,Tanner Mangum,BYU,0.089,16.616
2018,546288,Ryan Finley,NC State,0.414,185.894
2018,547164,Quinn Shanbour,North Texas,-0.244,-4.391
2018,547963,Jay Christophe,Texas Southern,0.377,17.738
2018,552119,Kyle Kempt,Iowa State,-0.118,-3.995
2018,558337,Nick Fitzgerald,Mississippi State,0.093,28.381
2018,559516,Anthony Cooper,Southeast Missouri State,-0.033,-0.558
2018,559556,Will Grier,West Virginia,0.381,138.725
2018,559630,Rafe Peavey,Florida Atlantic,-0.148,-5.481
2018,3115966,Wilton Speight,UCLA,0.256,55.724
2018,3116087,AJ Bush,Illinois,0.037,8.493
2018,3116144,Clayton Thorson,Northwestern,0.138,71.89
2018,3116172,Trace McSorley,Penn State,0.105,40.218
2018,3116188,David Blough,Purdue,0.282,136.132
2018,3116379,Justice Hansen,Arkansas State,0.4,150.794
2018,3116417,Foster Sawyer,Stephen F. Austin,0.147,4.396
2018,3116420,Grayson Muehlstein,TCU,0.061,4.032
2018,3116715,Jalan McClendon,Baylor,0.103,9.991
2018,3116772,Andrew Ford,Massachusetts,0.255,47.207
2018,3117245,Keller Chryst,Tennessee,0.401,20.469
2018,3120540,Drew Belcher,Maine,0.327,2.292
2018,3120656,Eli Dunne,Northern Iowa,0.13,3.65
2018,3120809,Joe Carbone,Stony Brook,-0.629,-11.314
2018,3120851,Zach Bednarczyk,Villanova,0.414,16.974
2018,3121350,Sam Straub,Southern Illinois,0.205,9.411
2018,3121549,D.J. Gillins,UTSA,-0.25,-16.728
2018,3121628,Sean McGuire,Western Illinois,0.118,4.472
2018,3121647,Treon Harris,Tennessee State,0.908,9.083
2018,3122170,Shawn Stankavage,Rice,0.15,34.749
2018,3122176,Gage Gubrud,Eastern Washington,-0.001,-0.03
2018,3122329,Jabari Dunham,Bethune-Cookman,0,0.001
2018,3122424,Taylor Cornelius,Oklahoma State,0.34,175.124
2018,3122611,Ty Gangi,Nevada,0.256,115.372
2018,3122907,Austin Herink,East Tennessee State,-1.268,-5.071
2018,3123047,Malik Rosier,Miami,0.17,27.548
2018,3123209,Shuler Bentley,Murray State,-0.565,-3.391
2018,3123719,James Tabary,McNeese,-0.022,-0.492
2018,3123790,LaBaron Anthony,Georgia Southern,NA,0
2018,3124529,Kilton Anderson,Coastal Carolina,0.263,37.672
2018,3124662,JaJuan Lawson,Rhode Island,0.486,17.992
2018,3124698,Ryan Metz,UTEP,0.121,9.233
2018,3124782,Drew Eckels,Western Kentucky,0.131,13.717
2018,3124900,Jake Luton,Oregon State,0.311,74.336
2018,3124971,Nick Jeanty,New Mexico State,-0.417,-5.421
2018,3125336,Kevin Thomson,Sacramento State,0.582,11.633
2018,3125418,Nick Smith,Wyoming,-0.219,-0.219
2018,3125813,Hayden Moore,Cincinnati,0.152,8.197
2018,3125927,Ross Comis,Massachusetts,0.333,72.294
2018,3125968,Gus Ragland,Miami (OH),0.336,116.442
2018,3126102,Jalen Reese,Toledo,NA,0
2018,3126207,Clay Holgorsen,Northwestern State,0.248,4.706
2018,3126243,Glen Cuiellette,Texas Southern,-0.03,-1.078
2018,3126487,Michael Scarnecchia,South Carolina,0.412,21.424
2018,3127051,Devlin Hodges,Samford,0.044,2.659
2018,3127204,Chase Forrest,California,-0.392,-5.881
2018,3127261,Peyton Bender,Kansas,0.127,43.399
2018,3127291,K.J. Carta-Samuels,Colorado State,0.357,97.478
2018,3127332,Marcus McMaryion,Fresno State,0.391,168.777
2018,3127375,Giovanni Rescigno,Rutgers,-0.086,-6.842
2018,3128413,Darrel Colbert Jr.,Lamar,-0.213,-5.96
2018,3128784,Coltin Gerhart,New Mexico,-0.104,-6.744
2018,3128814,Manny Wilkins,Arizona State,0.332,133.462
2018,3128842,Luke Medlock,Fordham,-0.192,-9.811
2018,3129265,Evan Orth,South Alabama,0.287,52.526
2018,3129311,Montgomery VanGorder,Youngstown State,0.251,5.765
2018,3135828,Woody Cornwell,NC State,NA,0
2018,3138735,Frank Nutile,Temple,0.357,27.828
2018,3139063,Tanner Gueller,Idaho State,0.303,22.401
2018,3139423,Cole Garvin,South Alabama,0.263,22.108
2018,3139487,Vincent Testaverde,UAlbany,0.028,0.933
2018,3139889,Hasaan Klugh,Charlotte,0.108,3.453
2018,3139889,Hasaan Klugh,Charlotte,0.108,3.453
2018,3139898,Lamar Raynard,North Carolina A&T,0.175,3.506
2018,3139921,Christian Chapman,San Diego State,0.297,29.088
2018,3144983,Tyler Wiegers,Eastern Michigan,0.247,69.629
2018,3672880,Alex James Malzone,Miami (OH),-1.061,-4.245
2018,3675812,Bryce Perkins,Virginia,0.266,100.407
2018,3701527,Ricky Town,Pittsburgh,2.344,2.344
2018,3722362,Brett Rypien,Boise State,0.413,183.759
2018,3728240,Kelly Bryant,Clemson,0.124,7.057
2018,3728285,Demry Croft,Tennessee State,0.559,17.892
2018,3791110,Tommy Stevens,Penn State,-0.527,-8.435
2018,3791146,Elijah Sindelar,Purdue,0.066,3.039
2018,3843247,Justin McMillan,Tulane,0.322,49.28
2018,3858269,Ross Bowers,California,-0.193,-3.669
2018,3858944,Blake Barnett,South Florida,0.238,78.843
2018,3886565,Quinten Dormady,Houston,-0.377,-1.886
2018,3886609,Alex Hornibrook,Wisconsin,0.259,56.212
2018,3886621,Ty Storey,Arkansas,0.176,46.942
2018,3886634,Alex Delton,Kansas State,-0.164,-15.585
2018,3886812,Jake Browning,Washington,0.339,137.284
2018,3892775,Jarrett Stidham,Auburn,0.288,112.077
2018,3893630,Brady White,Memphis,0.387,158.854
2018,3895838,Nathan Elliott,North Carolina,0.196,63.786
2018,3909280,Sage Attwood,Colgate,-0.31,-4.648
2018,3909358,Jalen Ollie,Fordham,-0.412,-2.061
2018,3910083,McLane Carter,Texas Tech,0.178,9.789
2018,3910249,Kenji Bahar,Monmouth,-0.041,-1.793
2018,3910346,Andrew Zimmerman,North Dakota,-0.33,-0.659
2018,3910639,Nate Ketteringham,North Dakota,-0.18,-5.75
2018,3910966,Brett Brumbaugh,Duquesne,0.803,2.408
2018,3911491,Jake Blumrick,Stephen F. Austin,-0.329,-1.975
2018,3911636,Tyrie Adams,Western Carolina,0.155,5.907
2018,3911901,Will Brunson,UAlbany,-0.734,-0.734
2018,3911917,Chandler Burks,Kennesaw State,0.32,4.793
2018,3912397,Kevin Johnson,Richmond,0.21,6.099
2018,3912609,Geoff Wade,Holy Cross,-0.501,-5.013
2018,3912949,Brad Mayes,Lehigh,0.039,1.218
2018,3913122,Luke Massei,Wagner,0.036,0.108
2018,3913137,Alex Thomson,Marshall,-0.148,-16.454
2018,3913822,Case Cookus,Northern Arizona,0.403,10.474
2018,3914214,Logan Marchi,East Tennessee State,-0.5,-13.001
2018,3914306,Christian Alexander,Florida International,0.399,21.536
2018,3914382,J'Mar Smith,Louisiana Tech,0.188,90.499
2018,3914395,James Morgan,Florida International,0.456,150.437
2018,3914543,Blake LaRussa,Old Dominion,0.218,81.261
2018,3914569,Jaylon Henderson,Boise State,NA,0
2018,3914836,Cristian Solano,Nevada,-0.099,-4.872
2018,3915379,Sheriron Jones,New Mexico,0.131,25.011
2018,3915436,Steven Montez,Colorado,0.22,92.644
2018,3915468,Riley Neal,Ball State,0.172,59.077
2018,3915511,Joe Burrow,LSU,0.242,99.667
2018,3915776,Kyle Shurmur,Vanderbilt,0.312,130.749
2018,3915966,TJ Green,Northwestern,-0.058,-2.021
2018,3916103,Jonathan Banks,Tulane,0.137,21.934
2018,3916142,Brady Davis,Illinois State,0.496,13.878
2018,3916208,Ben Hicks,SMU,0.143,56.352
2018,3916282,Garret Lewis,Navy,-0.001,-0.118
2018,3916383,Jackson Tyner,Rice,0.351,7.014
2018,3916447,Eric Dungey,Syracuse,0.286,101.974
2018,3916564,Tyree Jackson,Buffalo,0.289,121.245
2018,3916725,Tom Flacco,Towson,0.145,8.109
2018,3916726,Jon Wassink,Western Michigan,0.324,79.818
2018,3916786,Luke Langdon,Army,-0.811,-0.811
2018,3917007,Chad President,Tulsa,NA,0
2018,3917280,Nick Tiano,Chattanooga,0.139,5.285
2018,3917315,Kyler Murray,Oklahoma,0.722,281.029
2018,3917540,Aaron Winchester,Georgia State,0.186,10.8
2018,3917792,Daniel Jones,Duke,0.172,71.803
2018,3917793,Quentin Harris,Duke,0.005,0.358
2018,3917810,TaQuon Marshall,Georgia Tech,0.148,17.6
2018,3917848,Evan Shirreffs,Charlotte,0.096,11.17
2018,3917848,Evan Shirreffs,Charlotte,0.096,11.17
2018,3917957,Carter Stanley,Kansas,0.304,16.099
2018,3917958,Ryan Willis,Virginia Tech,0.253,96.826
2018,3918038,Chason Virgil,SE Louisiana,0.341,26.949
2018,3919110,Daniel Parr,Duquesne,-0.056,-3.115
2018,3920819,Quinton Maxwell,Ohio,0.35,12.967
2018,3921561,Deondre Francois,Florida State,0.2,83.687
2018,3921586,Jacob Dolegala,Central Connecticut,0.013,0.322
2018,3921588,Tanner Kingsley,Central Connecticut,-0.811,-3.245
2018,3921648,Ryan Agnew,San Diego State,0.271,65.058
2018,3921685,Josh Love,San José State,0.121,36.755
2018,3921920,Brandon Bisack,UConn,-0.17,-1.188
2018,3921977,Daniel Santacaterina,Southeast Missouri State,0.142,1.986
2018,3923382,Brett Kean,South Florida,0.033,1.195
2018,3924327,Drew Lock,Missouri,0.42,185.795
2018,3926590,Ellis Richardson,Georgia Southern,0.33,4.954
2018,3927948,Ryan Stanley,Florida A&M,0.007,0.204
2018,3928363,Dewann Ford,South Carolina State,-0.148,-1.929
2018,3928455,Noah Johnson,Alcorn State,0.284,15.055
2018,3928855,Jake Paladino,VMI,3.42,3.42
2018,3929199,Manny Miles,North Carolina,-0.025,-0.099
2018,3929824,Brian Lewerke,Michigan State,0.07,24.709
2018,3930361,Jordan Williams,Jackson State,-0.33,-0.33
2018,3932345,Beau Hoge,BYU,NA,0
2018,3932451,Brandon Wimbush,Notre Dame,0.192,20.491
2018,3932903,Mitchell Guadagni,Toledo,0.307,40.776
2018,3933149,Zeb Speir,App State,-0.346,-1.038
2018,3933375,Jason Collins,Howard,0.418,4.175
2018,3933408,Jalen Morton,Prairie View A&M,0.26,18.732
2018,3943175,Josh Covey,Stephen F. Austin,-0.097,-0.484
2018,3945456,Akevious Williams,Bethune-Cookman,0.454,12.247
2018,3949979,Kylil Carter,North Carolina A&T,1.018,9.16
2018,3953574,London Johnson,Charleston Southern,-0.473,-7.096
2018,4027419,Eric Barriere,Eastern Washington,NA,0
2018,4028076,Davis Alexander,Portland State,-0.007,-0.248
2018,4028729,Cole Johnson,James Madison,-0.516,-1.033
2018,4029885,Stephen Calvert,Liberty,0.221,101.463
2018,4030387,Chance Thrasher,Coastal Carolina,-0.141,-0.141
2018,4030554,Emmett Clifford,Holy Cross,-1.029,-12.344
2018,4030586,Tyler Monaco,Lehigh,-0.033,-0.301
2018,4030759,DeAndre Harris,Morgan State,0.223,3.343
2018,4031136,Connor Sampson,Western Illinois,-0.376,-2.256
2018,4032198,Breylin Smith,Central Arkansas,0.193,5.021
2018,4032529,Christian Lupoli,New Hampshire,-0.14,-5.031
2018,4032575,Joe Newman,Wofford,-0.398,-6.37
2018,4033782,Mike Fiacable,Indiana,NA,0
2018,4033850,Tyquell Fields,Stony Brook,0.207,0.622
2018,4033880,Ryan Stover,Towson,NA,0
2018,4034303,Chris Ferguson,Maine,-0.133,-4.8
2018,4034332,Michael Collins,TCU,0.313,42.874
2018,4034464,Austin Scott,Eastern Kentucky,-0.351,-2.107
2018,4034572,Luke Ward,Tennessee Tech,-0.303,-3.334
2018,4034946,Kyle Trask,Florida,0.333,7.666
2018,4034948,Feleipe Franks,Florida,0.293,98.413
2018,4035051,Gunnar Hoak,Kentucky,0.174,4.522
2018,4035167,Jarrett Guarantano,Tennessee,0.314,83.106
2018,4035225,Nick Starkel,Texas A&M,0.496,11.408
2018,4035292,Shea Patterson,Michigan,0.365,123.31
2018,4035312,Anthony Brown,Boston College,0.26,78.63
2018,4035501,Devin Adams,Auburn,NA,0
2018,4035525,Zeb Noland,Iowa State,0.254,28.917
2018,4035584,Cole Kelley,Arkansas,0.247,17.069
2018,4035671,Tyler Huntley,Utah,0.251,62.673
2018,4035691,Matt Fink,USC,0.43,3.869
2018,4035856,Max Gilliam,UNLV,0.171,41.361
2018,4035995,Jawon Pass,Louisville,0.055,17.55
2018,4035998,Sean McCormack,Louisville,-0.593,-8.893
2018,4036149,Nathan Stanley,Iowa,0.361,147.67
2018,4036210,Tyrrell Pigrome,Maryland,0.011,0.885
2018,4036262,Brandon Peters,Michigan,-1.724,-3.448
2018,4036357,Collin Hill,Colorado State,0.082,16.331
2018,4036378,Jordan Love,Utah State,0.487,204.514
2018,4036419,Skylar John Thompson,Kansas State,0.238,53.29
2018,4036427,Jacob Huesman,App State,-0.234,-9.344
2018,4036429,Zac Thomas,App State,0.41,109.019
2018,4036473,Logan Bonner,Arkansas State,0.268,3.49
2018,4036585,Caleb Evans,UL Monroe,0.199,77.258
2018,4036850,Montel Aaron,San José State,0.164,13.946
2018,4036857,Michael Carrillo,San José State,0.082,7.157
2018,4036923,Kelvin Hopkins Jr.,Army,0.793,72.124
2018,4037118,Mo Hasan,Vanderbilt,-0.04,-0.279
2018,4037213,Jamie Newman,Wake Forest,0.292,44.374
2018,4037398,Naiil Ramadan,North Carolina Central,-0.255,-4.077
2018,4037420,Drayton Arnold,Old Dominion,0.178,0.356
2018,4037449,Jack Allison,West Virginia,-0.103,-4.754
2018,4037495,Jake Sopko,Cincinnati,-0.512,-0.512
2018,4037556,Steven Duncan,Western Kentucky,0.062,12.103
2018,4037603,Josh Jackson,Virginia Tech,0.303,19.079
2018,4037642,Austin Kendall,Oklahoma,0.217,3.898
2018,4038186,Arion Worthman,Air Force,0.208,3.744
2018,4038220,Cole McDonald,Hawai'i,0.35,180.207
2018,4038433,Keondre Wudtee,Oklahoma State,-0.106,-0.741
2018,4038520,Reid Herring,East Carolina,0.09,22.481
2018,4038524,Gardner Minshew,Washington State,0.309,206.184
2018,4038741,Kato Nelson,Akron,0.194,70.695
2018,4038809,Jake Bentley,South Carolina,0.355,142.351
2018,4038833,Brandon McIlwain,California,-0.079,-9.709
2018,4038940,Terry Wilson,Kentucky,0.143,36.419
2018,4038941,Justin Herbert,Oregon,0.3,126.77
2018,4039034,Shane Buechele,Texas,0.196,9.017
2018,4039073,Mason Fine,North Texas,0.354,171.253
2018,4039210,Drew Plitt,Ball State,0.161,22.752
2018,4039268,Tommy Lazzaro,Central Michigan,0.038,5.899
2018,4039275,Kwadra Griggs,Southern Miss,-0.498,-0.995
2018,4039300,D'Eriq King,Houston,0.521,184.332
2018,4039315,Isaac Stiebeling,Eastern Michigan,-0.396,-0.396
2018,4039390,Tevaka Tuioti,New Mexico,0.777,34.191
2018,4039436,Malcolm Perry,Navy,0.148,6.952
2018,4039469,Anthony Thompson,Northern Illinois,-1.922,-1.922
